id,date,collection_location,travel_history,new_cases,mobility,sequencing_intensity
seq_102434,2020-06-30,domestic,no_travel,896,-0.01,0.107142857142857
seq_102441,2020-06-29,domestic,no_travel,896,-0.01,0.107142857142857
seq_102446,2020-06-29,domestic,no_travel,896,-0.01,0.107142857142857
seq_102460,2020-06-29,domestic,no_travel,896,-0.01,0.107142857142857
seq_10246,2020-06-29,domestic,no_travel,896,-0.01,0.107142857142857
seq_102503,2020-06-29,domestic,no_travel,896,-0.01,0.107142857142857
seq_102509,2020-06-29,domestic,no_travel,896,-0.01,0.107142857142857
seq_102533,2020-06-29,domestic,no_travel,896,-0.01,0.107142857142857
seq_102536,2020-06-29,domestic,no_travel,896,-0.01,0.107142857142857
seq_102579,2020-06-29,domestic,no_travel,896,-0.01,0.107142857142857
seq_102591,2020-06-29,domestic,no_travel,896,-0.01,0.107142857142857
seq_102600,2020-06-29,domestic,no_travel,896,-0.01,0.107142857142857
seq_10260,2020-06-29,domestic,no_travel,896,-0.01,0.107142857142857
seq_102613,2020-06-29,domestic,no_travel,896,-0.01,0.107142857142857
seq_10267,2020-06-28,domestic,no_travel,896,-0.01,0.107142857142857
seq_102705,2020-06-28,domestic,no_travel,896,-0.01,0.107142857142857
seq_10273,2020-06-28,domestic,no_travel,896,-0.01,0.107142857142857
seq_102741,2020-06-28,domestic,no_travel,896,-0.01,0.107142857142857
seq_102751,2020-06-28,domestic,no_travel,896,-0.01,0.107142857142857
seq_102788,2020-06-28,domestic,no_travel,896,-0.01,0.107142857142857
seq_102790,2020-06-28,domestic,no_travel,896,-0.01,0.107142857142857
seq_102809,2020-06-28,domestic,no_travel,896,-0.01,0.107142857142857
seq_102811,2020-06-28,domestic,no_travel,896,-0.01,0.107142857142857
seq_102827,2020-06-28,domestic,no_travel,896,-0.01,0.107142857142857
seq_102829,2020-06-28,domestic,no_travel,896,-0.01,0.107142857142857
seq_102832,2020-06-28,domestic,no_travel,896,-0.01,0.107142857142857
seq_102847,2020-06-28,domestic,no_travel,896,-0.01,0.107142857142857
seq_102855,2020-06-28,domestic,no_travel,896,-0.01,0.107142857142857
seq_102880,2020-06-28,domestic,no_travel,896,-0.01,0.107142857142857
seq_1028,2020-06-28,domestic,no_travel,896,-0.01,0.107142857142857
seq_10293,2020-06-27,domestic,travel,1413,-0.01,0.102618542108988
seq_102948,2020-06-27,domestic,no_travel,1413,-0.01,0.102618542108988
seq_102952,2020-06-27,domestic,no_travel,1413,-0.01,0.102618542108988
seq_102967,2020-06-27,domestic,no_travel,1413,-0.01,0.102618542108988
seq_102970,2020-06-27,domestic,travel,1413,-0.01,0.102618542108988
seq_102999,2020-06-27,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103041,2020-06-27,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103115,2020-06-27,domestic,travel,1413,-0.01,0.102618542108988
seq_103122,2020-06-27,domestic,no_travel,1413,-0.01,0.102618542108988
seq_10313,2020-06-27,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103158,2020-06-27,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103204,2020-06-27,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103209,2020-06-27,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103210,2020-06-27,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103220,2020-06-26,domestic,no_travel,1413,-0.01,0.102618542108988
seq_10322,2020-06-26,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103231,2020-06-26,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103239,2020-06-26,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103253,2020-06-26,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103258,2020-06-26,domestic,no_travel,1413,-0.01,0.102618542108988
seq_10326,2020-06-26,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103292,2020-06-26,domestic,no_travel,1413,-0.01,0.102618542108988
seq_10331,2020-06-26,domestic,travel,1413,-0.01,0.102618542108988
seq_103387,2020-06-26,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103392,2020-06-26,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103439,2020-06-26,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103442,2020-06-26,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103445,2020-06-26,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103460,2020-06-26,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103468,2020-06-26,domestic,travel,1413,-0.01,0.102618542108988
seq_103470,2020-06-26,domestic,travel,1413,-0.01,0.102618542108988
seq_103483,2020-06-26,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103490,2020-06-26,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103514,2020-06-25,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103528,2020-06-25,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103547,2020-06-25,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103564,2020-06-25,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103590,2020-06-25,domestic,no_travel,1413,-0.01,0.102618542108988
seq_10359,2020-06-25,domestic,travel,1413,-0.01,0.102618542108988
seq_103627,2020-06-25,domestic,no_travel,1413,-0.01,0.102618542108988
seq_10362,2020-06-25,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103631,2020-06-25,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103667,2020-06-25,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103686,2020-06-25,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103691,2020-06-25,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103785,2020-06-25,domestic,no_travel,1413,-0.01,0.102618542108988
seq_10378,2020-06-24,domestic,travel,1413,-0.01,0.102618542108988
seq_103789,2020-06-24,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103792,2020-06-24,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103838,2020-06-24,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103857,2020-06-24,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103895,2020-06-24,domestic,travel,1413,-0.01,0.102618542108988
seq_103909,2020-06-24,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103935,2020-06-24,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103937,2020-06-24,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103940,2020-06-24,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103942,2020-06-24,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103949,2020-06-24,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103954,2020-06-24,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103959,2020-06-24,domestic,no_travel,1413,-0.01,0.102618542108988
seq_103979,2020-06-24,domestic,no_travel,1413,-0.01,0.102618542108988
