id,collection_location,collection_date
seq_40953,domestic,2020-05-03
seq_1722,domestic,2020-05-11
seq_22600,intl_source,2020-05-10
seq_80695,domestic,2020-04-14
seq_57307,intl_source,2020-04-27
seq_8528,intl_source,2020-04-11
seq_137539,domestic,2020-05-21
seq_95705,domestic,2020-03-26
seq_48662,domestic,2020-04-30
seq_94717,domestic,2020-03-28
seq_91103,Imports,2020-04-04
seq_72638,domestic,2020-04-19
seq_96761,intl_source,2020-03-23
seq_118943,intl_source,2020-06-02
seq_49626,intl_source,2020-04-30
seq_27037,domestic,2020-05-08
seq_2616,domestic,2020-05-08
seq_124431,domestic,2020-05-29
seq_142050,intl_source,2020-05-19
seq_107348,intl_source,2020-06-16
seq_154633,intl_source,2020-05-14
seq_109182,domestic,2020-06-13
seq_75894,intl_source,2020-04-17
seq_92521,intl_source,2020-04-02
seq_17163,domestic,2020-05-11
seq_46961,intl_source,2020-05-01
seq_65602,domestic,2020-04-23
seq_38099,domestic,2020-05-04
seq_136046,domestic,2020-05-22
seq_104094,domestic,2020-06-23
seq_98497,intl_source,2020-03-13
seq_97307,domestic,2020-03-20
seq_39862,domestic,2020-05-03
seq_54173,domestic,2020-04-28
seq_22765,domestic,2020-05-09
seq_55809,intl_source,2020-04-27
seq_17141,intl_source,2020-05-11
seq_59168,domestic,2020-04-26
seq_152633,domestic,2020-05-15
seq_106434,intl_source,2020-06-17
seq_62042,intl_source,2020-04-25
seq_70650,intl_source,2020-04-20
seq_91876,intl_source,2020-04-03
seq_50602,domestic,2020-04-29
seq_56613,intl_source,2020-04-27
seq_44288,domestic,2020-05-02
seq_122745,domestic,2020-05-30
seq_12025,domestic,2020-06-01
seq_122760,domestic,2020-05-30
seq_15032,domestic,2020-05-16
seq_107560,intl_source,2020-06-15
seq_47871,domestic,2020-04-30
seq_143822,domestic,2020-05-19
seq_35344,domestic,2020-05-05
seq_150778,domestic,2020-05-16
seq_102880,domestic,2020-06-28
seq_116772,domestic,2020-06-04
seq_62941,intl_source,2020-04-24
seq_77529,domestic,2020-04-16
seq_75889,intl_source,2020-04-17
seq_110623,intl_source,2020-06-11
seq_98636,intl_source,2020-03-12
seq_140783,intl_source,2020-05-20
seq_148367,domestic,2020-05-17
seq_99720,domestic,2020-02-23
seq_119332,intl_source,2020-06-02
seq_73077,intl_source,2020-04-19
seq_151846,intl_source,2020-05-15
seq_1206,intl_source,2020-06-01
seq_77838,domestic,2020-04-16
seq_88840,domestic,2020-04-07
seq_15503,intl_source,2020-05-14
seq_69115,intl_source,2020-04-21
seq_23195,domestic,2020-05-09
seq_156009,domestic,2020-05-14
seq_118973,domestic,2020-06-02
seq_74513,domestic,2020-04-18
seq_68243,intl_source,2020-04-22
